Test of routines by solving u''=u from 0 to 1 where u0=[1,1]
      1.38     -0.302 
Result from matlab using ode45: 1.3818, -0.3012
Test OK

Results for steps:
xi	yi	yi'
 0	1	1
 0.01	1.00995	0.98995
 0.03	1.02954701	0.96955301
 0.0610614364858245	1.05916605915421	0.937106082344826
 0.102147925699113	1.09677446919997	0.892797703280857
 0.151163186642199	1.13921768356485	0.837966545108741
 0.205935429475756	1.18340616494058	0.774312088279435
 0.264645582145328	1.22682661513738	0.703499650455672
 0.3259284669229	1.26763537306717	0.626995147540249
 0.388824158201304	1.30456336720772	0.546026189447912
 0.45268532817811	1.33677307135987	0.461601831120189
 0.517087761368446	1.36372910339361	0.374553105882938
 0.581759216329741	1.38510016939671	0.285575495683961
 0.646527854760205	1.40069127407417	0.195265452372199
 0.711286744445411	1.41039939880558	0.104148796960919
 0.775970190356555	1.41418558288523	0.0127014271506844
 0.840538273667709	1.41205779341126	-0.0786363017447829
 0.904966890072029	1.40406060643121	-0.169450020180247
 0.969241389490925	1.39026905570318	-0.2593452958954
 1	1.38163429345992	-0.301985358012132
