2.72727272727273  -0.256093329767466 -0.0929016461784076 -0.0467554642776769	-0.5	-0.125	-0.055
1.875  -0.32 -0.105452603086913 -0.0507115509629852	-0.5	-0.125	-0.055
1.42857142857143  -0.36445889310136 -0.112162746854239 -0.0525115242356382	-0.5	-0.125	-0.055
1.15384615384615  -0.395745031718354 -0.116036890858812 -0.0534608006291598	-0.5	-0.125	-0.055
0.967741935483871  -0.418131762030695 -0.118432071307904 -0.0540164464729284	-0.5	-0.125	-0.055
0.833333333333333  -0.434459922217598 -0.119999992879943 -0.0543676483197363	-0.5	-0.125	-0.055
0.731707317073171  -0.446605856138231 -0.121075722928451 -0.0546029804683336	-0.5	-0.125	-0.055
0.652173913043478  -0.455815066739178 -0.121842832537407 -0.0547680395688598	-0.5	-0.125	-0.055
0.588235294117647  -0.462924096963725 -0.12240766986084 -0.0548881219927371	-0.5	-0.125	-0.055
0.535714285714286  -0.468503510040182 -0.122834885335742 -0.0549781332377875	-0.5	-0.125	-0.055
0.491803278688525  -0.472949103825768 -0.123165440979875 -0.0550473008088522	-0.5	-0.125	-0.055
0.454545454545455  -0.476540228381612 -0.123426231580051 -0.0551015771062863	-0.5	-0.125	-0.055
0.422535211267606  -0.479477412224722 -0.1236354691212 -0.0551449376907922	-0.5	-0.125	-0.055
0.394736842105263  -0.481906952897676 -0.123805822147407 -0.0551801179485722	-0.5	-0.125	-0.055
0.37037037037037  -0.483937226399504 -0.123946313492665 -0.0552090489754375	-0.5	-0.125	-0.055
0.348837209302326  -0.485649672526846 -0.124063504712019 -0.0552331249978898	-0.5	-0.125	-0.055
0.32967032967033  -0.487106309556297 -0.124162256612286 -0.0552533727045446	-0.5	-0.125	-0.055
0.3125  -0.488354953113733 -0.124246230126558 -0.0552705614880309	-0.5	-0.125	-0.055
